metro_minutes,metro_walking,total_area,living_area,kitchen_area,price,utilities_amount,utilities_included,prepayment_months,is_long_rental_term
5,1,200.0,116.0,10.0,300000.0,0.0,1,1.0,1
5,1,146.0,79.0,15.0,300000.0,0.0,1,1.0,1
3,1,168.0,101.0,10.0,330000.0,0.0,1,1.0,1
2,1,169.0,84.0,,330000.0,0.0,1,1.0,1
4,1,168.0,101.0,10.0,330000.0,0.0,1,1.0,1
5,1,130.0,71.0,7.0,350000.0,0.0,1,1.0,1
5,1,210.0,124.0,16.0,380000.0,0.0,1,1.0,1
2,1,326.0,255.0,14.0,400000.0,0.0,1,1.0,1
4,1,160.0,,,450000.0,0.0,1,1.0,1
3,1,218.0,,,750000.0,0.0,1,1.0,1
5,1,184.0,110.0,15.0,950000.0,0.0,1,1.0,1
6,1,414.0,330.0,40.0,1500000.0,0.0,1,1.0,1
3,1,21.0,10.0,5.0,38000.0,0.0,1,1.0,1
7,1,45.0,32.0,6.0,45000.0,0.0,1,1.0,1
6,1,64.0,15.0,,85000.0,0.0,1,1.0,1
10,1,80.0,,,100000.0,0.0,1,1.0,1
8,1,40.0,20.0,10.0,45000.0,0.0,1,1.0,1
7,1,42.0,,,49000.0,0.0,1,1.0,1
5,1,40.0,25.0,7.0,50000.0,0.0,1,1.0,1
7,1,37.0,24.0,4.0,59900.0,0.0,1,1.0,1
3,1,46.0,30.0,8.0,60000.0,0.0,1,1.0,1
7,1,30.0,18.0,7.0,60000.0,0.0,1,1.0,1
8,1,80.0,55.0,7.0,65000.0,0.0,1,2.0,1
5,1,40.0,24.0,6.7,65000.0,0.0,1,1.0,1
7,1,43.0,30.0,6.0,65000.0,0.0,1,1.0,1
5,1,63.0,34.0,12.0,65000.0,0.0,1,1.0,1
5,1,61.0,29.0,9.5,70000.0,0.0,1,1.0,1
3,1,70.0,41.7,11.0,75000.0,0.0,1,1.0,1
9,1,74.0,52.0,9.0,90000.0,0.0,1,1.0,1
4,1,66.0,,,129000.0,0.0,1,1.0,1
6,1,100.0,55.0,19.0,140000.0,0.0,1,1.0,1
6,1,150.0,,,145000.0,0.0,1,1.0,0
2,1,153.0,115.0,35.0,170000.0,0.0,1,1.0,1
4,1,106.0,28.4,,230000.0,0.0,1,1.0,1
2,1,115.0,65.0,15.0,250000.0,0.0,1,1.0,1
4,1,127.0,70.0,15.0,300000.0,0.0,1,1.0,1
6,1,75.0,45.0,12.0,120000.0,0.0,1,1.0,1
8,1,65.0,46.0,12.0,100000.0,0.0,1,1.0,1
5,1,151.0,72.0,39.0,380000.0,0.0,1,1.0,1
8,1,46.0,29.0,7.0,60000.0,0.0,1,1.0,1
6,1,50.0,32.0,8.0,70000.0,0.0,1,1.0,1
5,1,65.0,45.0,9.0,70000.0,0.0,1,1.0,1
8,1,70.0,52.0,11.0,100000.0,0.0,1,1.0,1
5,1,113.0,,,110000.0,0.0,1,1.0,1
5,1,55.0,27.0,16.0,110000.0,0.0,1,1.0,1
5,1,110.0,35.0,,130000.0,0.0,1,1.0,1
2,1,74.5,47.0,12.0,150000.0,0.0,1,1.0,1
2,1,100.0,80.0,,250000.0,0.0,1,1.0,1
6,1,125.0,,,250000.0,0.0,1,1.0,1
4,1,170.0,70.0,,270000.0,0.0,1,1.0,1
6,1,150.0,96.0,10.0,270000.0,0.0,1,1.0,1
1,1,195.0,,,300000.0,0.0,1,1.0,1
3,1,165.0,,,380000.0,0.0,1,1.0,1
5,1,238.0,156.0,18.0,500000.0,0.0,1,1.0,1
4,1,175.0,,,270000.0,0.0,1,1.0,1
11,1,37.0,8.0,,40000.0,0.0,1,1.0,1
9,1,40.0,28.0,6.0,40000.0,0.0,1,1.0,1
9,1,35.0,18.0,8.0,57000.0,0.0,1,1.0,1
6,1,42.0,26.0,6.0,58000.0,0.0,1,1.0,1
9,1,50.0,25.0,8.0,59000.0,0.0,1,1.0,1
6,1,68.0,47.0,5.0,70000.0,0.0,1,1.0,1
5,1,31.0,,,74990.0,0.0,1,3.0,1
6,1,50.0,30.0,7.0,75000.0,0.0,1,1.0,1
1,1,58.7,35.0,10.0,75000.0,0.0,1,1.0,1
9,1,57.0,38.0,6.0,75000.0,0.0,1,1.0,1
6,1,47.0,35.0,5.0,85000.0,0.0,1,1.0,1
4,1,80.0,65.0,8.0,90000.0,0.0,1,1.0,1
9,1,86.0,61.0,10.0,95000.0,0.0,1,1.0,1
6,1,80.0,55.0,12.0,105000.0,0.0,1,1.0,1
1,1,90.0,58.0,13.0,110000.0,0.0,1,1.0,1
1,1,120.0,56.0,18.0,110000.0,0.0,1,1.0,1
4,1,75.0,59.0,10.0,120000.0,0.0,1,1.0,1
4,1,93.0,6.0,,130000.0,0.0,1,1.0,1
2,1,90.0,70.0,15.0,130000.0,0.0,1,1.0,1
5,1,102.0,10.0,,160000.0,0.0,1,1.0,1
