id,ceiling_height,metro_minutes,metro_walking,total_area,living_area,kitchen_area,price,utilities_amount,utilities_included,prepayment_months,is_long_rental_term,ceiling_height_known,rooms_count,types_room,floor,house_floor,house_type,parking,renovation,count_loggia,count_balcony,view_of_courtyard,view_of_street,combined_bathroom_count,separate_bathroom_count,is_child,is_pet,room_furniture,kitchen_furniture,bath,shower_cabin,washing_machine,air_conditioner,dishwasher,tv,fridge,internet,telephone,count_passenger_lift,count_freight_lift,is_garbage_chute,living_area_known,kitchen_area_known
274849686,3.2,5,1,142.0,81.0,15.0,350000.0,0.0,1,1.0,1,1,4.0,", Оба варианта",12,13,,4.0,2.0,,,1.0,1.0,2.0,0.0,0,0,1,1,1,1.0,1,0.0,1.0,1.0,1,1,1,1.0,0.0,,1,1
274315381,2.64,6,1,222.0,103.0,18.0,450000.0,0.0,1,1.0,1,0,5.0,,7,9,,,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,1,1,0,0.0,1,1.0,1.0,1.0,1,1,0,1.0,0.0,,1,1
273779074,3.6,7,1,60.0,40.0,11.0,120000.0,0.0,1,1.0,1,1,2.0,,3,6,5.0,,,,,0.0,1.0,1.0,0.0,1,1,1,0,1,0.0,1,1.0,1.0,0.0,0,1,0,1.0,0.0,1.0,1,1
274217247,3.8,8,1,103.0,74.0,16.0,120000.0,0.0,1,1.0,1,1,3.0,,2,3,5.0,,,,,1.0,1.0,1.0,0.0,1,0,0,0,1,0.0,1,1.0,1.0,0.0,0,1,0,0.0,0.0,0.0,1,1
272156997,3.2,5,1,170.0,112.0,18.0,175000.0,0.0,1,1.0,1,1,5.0,,5,5,5.0,0.0,2.0,,,1.0,0.0,2.0,0.0,1,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,0.0,1.0,0,0
274617827,2.64,8,1,200.0,150.0,30.0,190000.0,0.0,1,1.0,1,0,5.0,,3,3,5.0,,2.0,,,1.0,0.0,1.0,0.0,1,1,0,1,0,0.0,1,0.0,0.0,1.0,1,0,1,0.0,0.0,0.0,1,1
274252871,3.0,5,1,105.0,60.0,18.0,240000.0,0.0,1,1.0,1,1,3.0,,6,17,9.0,4.0,,1.0,0.0,1.0,1.0,2.0,1.0,1,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,0,2.0,1.0,0.0,1,1
269132104,3.0,10,1,60.0,30.0,10.0,250000.0,0.0,1,1.0,1,1,1.0,,2,12,8.0,4.0,2.0,,,1.0,0.0,1.0,0.0,1,0,1,1,1,0.0,1,1.0,1.0,1.0,1,1,0,1.0,1.0,0.0,1,1
273911217,2.64,6,1,155.0,103.0,18.0,250000.0,0.0,1,1.0,1,0,5.0,,4,6,,,3.0,,,0.0,1.0,1.0,0.0,0,0,1,1,0,1.0,1,1.0,1.0,1.0,1,1,0,1.0,0.0,,1,1
269716469,3.0,5,1,134.0,95.0,7.0,300000.0,0.0,1,1.0,1,1,3.0,,8,16,8.0,4.0,2.0,,,1.0,1.0,2.0,0.0,1,1,1,1,1,1.0,1,0.0,1.0,1.0,1,1,0,1.0,1.0,0.0,1,1
274137125,2.64,8,1,214.6,103.0,18.0,500000.0,0.0,1,1.0,1,0,5.0,,3,13,,4.0,3.0,,,1.0,1.0,4.0,0.0,1,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,0.0,,0,0
